"";"Country";"Code";"Year";"ghi";"gdp_per_capita";"population";"Continent";"ghi_lvl"
"1";"Afghanistan";"AFG";2000;50,9;NA;19542986;"Asia";"Extremely Alarming"
"2";"Afghanistan";"AFG";2006;42,7;1315,7890625;25442946;"Asia";"Alarming"
"3";"Afghanistan";"AFG";2012;34,3;2075,49169921875;30466484;"Asia";"Serious"
"4";"Afghanistan";"AFG";2021;28,3;1970,56018066406;38972236;"Asia";"Serious"
"5";"Albania";"ALB";2000;20,7;5892,59033203125;3182027;"Europe";"Serious"
"6";"Albania";"ALB";2006;15,9;8568,5615234375;3003391;"Europe";"Moderate"
"7";"Albania";"ALB";2012;8,8;11227,966796875;2892191;"Europe";"Low"
"8";"Albania";"ALB";2021;6,2;13191,9521484375;2866850;"Europe";"Low"
"9";"Algeria";"DZA";2000;14,5;8710,4443359375;30774624;"Africa";"Moderate"
"10";"Algeria";"DZA";2006;11,7;10527,4091796875;33435082;"Africa";"Moderate"
"11";"Algeria";"DZA";2012;8,9;11233,5166015625;37260568;"Africa";"Low"
"12";"Algeria";"DZA";2021;6,9;10735,3828125;43451668;"Africa";"Low"
"13";"Angola";"AGO";2000;65;4727,96630859375;16394067;"Africa";"Extremely Alarming"
"14";"Angola";"AGO";2006;46,9;6681,10107421875;20162338;"Africa";"Alarming"
"15";"Angola";"AGO";2012;27,8;8036,6923828125;25188298;"Africa";"Serious"
"16";"Angola";"AGO";2021;26;6110,2744140625;33428490;"Africa";"Serious"
"17";"Argentina";"ARG";2000;6,4;18625,283203125;37070772;"South America";"Low"
"18";"Argentina";"ARG";2006;5,6;20777,65234375;39476856;"South America";"Low"
"19";"Argentina";"ARG";2012;5,2;24118,8671875;41952364;"South America";"Low"
"20";"Argentina";"ARG";2021;5,3;19690,662109375;45036032;"South America";"Low"
"21";"Armenia";"ARM";2000;19,3;4048,25;3168525;"Asia";"Moderate"
"22";"Armenia";"ARM";2006;13,3;8464,4853515625;3026490;"Asia";"Moderate"
"23";"Armenia";"ARM";2012;10,4;10397,654296875;2914428;"Asia";"Moderate"
"24";"Armenia";"ARM";2021;7,2;12619,892578125;2805610;"Asia";"Low"
"25";"Azerbaijan";"AZE";2000;25;3998,5205078125;8190341;"Asia";"Serious"
"26";"Azerbaijan";"AZE";2006;15,9;9453,94140625;8763353;"Asia";"Moderate"
"27";"Azerbaijan";"AZE";2012;10,6;14027,46875;9485577;"Asia";"Moderate"
"28";"Azerbaijan";"AZE";2021;7,5;13726,76953125;10284952;"Asia";"Low"
"29";"Bangladesh";"BGD";2000;34;1937,72924804688;129193336;"Asia";"Serious"
"30";"Bangladesh";"BGD";2006;28,9;2399,08227539062;142628832;"Asia";"Serious"
"31";"Bangladesh";"BGD";2012;28,6;3195,78100585938;152090656;"Asia";"Serious"
"32";"Bangladesh";"BGD";2021;19,1;4871,4462890625;167420944;"Asia";"Moderate"
"33";"Belarus";"BLR";2000;2,5;8053,173828125;10256489;"Europe";"Low"
"34";"Belarus";"BLR";2006;2,5;13214,87109375;9874700;"Europe";"Low"
"35";"Belarus";"BLR";2012;2,5;18611,455078125;9693754;"Europe";"Low"
"36";"Belarus";"BLR";2021;2,5;19186,775390625;9633745;"Europe";"Low"
"37";"Benin";"BEN";2000;34;2478,21826171875;6998022;"Africa";"Serious"
"38";"Benin";"BEN";2006;27,7;2606,8173828125;8402635;"Africa";"Serious"
"39";"Benin";"BEN";2012;24;2759,84814453125;10014087;"Africa";"Serious"
"40";"Benin";"BEN";2021;22,2;3323,14453125;12643121;"Africa";"Serious"
"41";"Bolivia";"BOL";2000;27,7;5415,52587890625;8592656;"South America";"Serious"
"42";"Bolivia";"BOL";2006;23,3;5920,7099609375;9542663;"South America";"Serious"
"43";"Bolivia";"BOL";2012;15,6;7081,38623046875;10569697;"South America";"Moderate"
"44";"Bolivia";"BOL";2021;12,7;7845,1708984375;11936169;"South America";"Moderate"
"45";"Bosnia and Herzegovina";"BIH";2000;9,3;7604,513671875;4179355;"Europe";"Low"
"46";"Bosnia and Herzegovina";"BIH";2006;6,7;9856,97265625;4058086;"Europe";"Low"
"47";"Bosnia and Herzegovina";"BIH";2012;2,5;11257,83984375;3674376;"Europe";"Low"
"48";"Bosnia and Herzegovina";"BIH";2021;2,5;14509,265625;3318410;"Europe";"Low"
"49";"Botswana";"BWA";2000;26,7;10629,947265625;1726992;"Africa";"Serious"
"50";"Botswana";"BWA";2006;26,2;12318,3623046875;1928714;"Africa";"Serious"
"51";"Botswana";"BWA";2012;24,3;14166,5439453125;2175429;"Africa";"Serious"
"52";"Botswana";"BWA";2021;23,2;14654,6513671875;2546404;"Africa";"Serious"
"53";"Brazil";"BRA";2000;11,5;11600,9482421875;175873712;"South America";"Moderate"
"54";"Brazil";"BRA";2006;7,4;12922,1552734375;188820688;"South America";"Low"
"55";"Brazil";"BRA";2012;5,5;15478,79296875;199977712;"South America";"Low"
"56";"Brazil";"BRA";2021;2,5;14063,982421875;213196304;"South America";"Low"
"57";"Bulgaria";"BGR";2000;8,6;10503,6201171875;8097694;"Europe";"Low"
"58";"Bulgaria";"BGR";2006;8,1;15904,90234375;7766040;"Europe";"Low"
"59";"Bulgaria";"BGR";2012;7,8;18911,583984375;7488347;"Europe";"Low"
"60";"Bulgaria";"BGR";2021;6,1;22379,09375;6979181;"Europe";"Low"
"61";"Burkina Faso";"BFA";2000;44,9;1296,74792480469;11882896;"Africa";"Alarming"
"62";"Burkina Faso";"BFA";2006;35,8;1574,73010253906;14316247;"Africa";"Alarming"
"63";"Burkina Faso";"BFA";2012;29,7;1834,54333496094;17113736;"Africa";"Serious"
"64";"Burkina Faso";"BFA";2021;24,5;2155,76928710938;21522632;"Africa";"Serious"
"65";"Burundi";"BDI";2021;42,5;731,063232421875;12220229;"Africa";"Alarming"
"66";"Cambodia";"KHM";2000;41,1;1481,65686035156;12118844;"Asia";"Alarming"
"67";"Cambodia";"KHM";2006;27,1;2313,34301757812;13477781;"Asia";"Serious"
"68";"Cambodia";"KHM";2012;24,2;3022,5966796875;14786650;"Asia";"Serious"
"69";"Cambodia";"KHM";2021;17;4191,56640625;16396864;"Asia";"Moderate"
"70";"Cameroon";"CMR";2000;35,7;2858,00830078125;15091598;"Africa";"Alarming"
"71";"Cameroon";"CMR";2006;30,9;3176,91723632812;17751338;"Africa";"Serious"
"72";"Cameroon";"CMR";2012;23,1;3300,94555664062;21032684;"Africa";"Serious"
"73";"Cameroon";"CMR";2021;18,6;3666,41064453125;26491090;"Africa";"Moderate"
"74";"Cape Verde";"CPV";2000;15,4;4065,4794921875;458258;"Africa";"Moderate"
"75";"Cape Verde";"CPV";2006;11,9;5291,04736328125;498895;"Africa";"Moderate"
"76";"Cape Verde";"CPV";2012;12,3;6353,70751953125;533877;"Africa";"Moderate"
"77";"Cape Verde";"CPV";2021;10,8;6045,06103515625;582646;"Africa";"Moderate"
"78";"Central African Republic";"CAF";2000;48,9;1040,10388183594;3759174;"Africa";"Alarming"
"79";"Central African Republic";"CAF";2006;48;1055,08728027344;4294352;"Africa";"Alarming"
"80";"Central African Republic";"CAF";2012;40,5;1300,28881835938;4773306;"Africa";"Alarming"
"81";"Central African Republic";"CAF";2021;43;936,28759765625;5343024;"Africa";"Alarming"
"82";"Chad";"TCD";2000;50,8;897,347045898438;8259144;"Africa";"Extremely Alarming"
"83";"Chad";"TCD";2006;51,2;1572,48217773438;10365620;"Africa";"Extremely Alarming"
"84";"Chad";"TCD";2012;45,7;1765,19494628906;12754912;"Africa";"Alarming"
"85";"Chad";"TCD";2021;39,6;1519,03674316406;16644707;"Africa";"Alarming"
"86";"Chile";"CHL";2000;2,5;15638,0009765625;15351803;"South America";"Low"
"87";"Chile";"CHL";2006;2,5;19603,697265625;16334573;"South America";"Low"
"88";"Chile";"CHL";2012;2,5;23300,44140625;17341770;"South America";"Low"
"89";"Chile";"CHL";2021;2,5;23324,525390625;19300318;"South America";"Low"
"90";"China";"CHN";2000;13,3;3451,67919921875;1264099072;"Asia";"Moderate"
"91";"China";"CHN";2006;9;5979,78173828125;1313086592;"Asia";"Low"
"92";"China";"CHN";2012;2,5;10370,7265625;1366560768;"Asia";"Low"
"93";"China";"CHN";2021;2,5;16315,8154296875;1424929792;"Asia";"Low"
"94";"Colombia";"COL";2000;10,9;9042,6630859375;39215136;"South America";"Moderate"
"95";"Colombia";"COL";2006;11,4;10586,794921875;42772912;"South America";"Moderate"
"96";"Colombia";"COL";2012;9,3;12852,6259765625;45782420;"South America";"Low"
"97";"Colombia";"COL";2021;8,9;13448,9326171875;50930656;"South America";"Low"
"98";"Comoros";"COM";2021;42,5;2989,17041015625;806168;"Africa";"Alarming"
"99";"Congo";"COG";2000;34,9;4399,8427734375;3134034;"Africa";"Serious"
"100";"Congo";"COG";2006;34,6;4841,59521484375;3813325;"Africa";"Serious"
"101";"Congo";"COG";2012;28,5;5504,18505859375;4713260;"Africa";"Serious"
"102";"Congo";"COG";2021;30,3;3433,958984375;5702183;"Africa";"Serious"
"103";"Costa Rica";"CRI";2000;7;12624,0703125;3979189;"North America";"Low"
"104";"Costa Rica";"CRI";2006;5,5;14976,8154296875;4378170;"North America";"Low"
"105";"Costa Rica";"CRI";2012;2,5;17994,537109375;4736593;"North America";"Low"
"106";"Costa Rica";"CRI";2021;5,3;19903,140625;5123107;"North America";"Low"
"107";"Cote d'Ivoire";"CIV";2000;33,3;4137,9619140625;16799664;"Africa";"Serious"
"108";"Cote d'Ivoire";"CIV";2006;37,1;3527,240234375;19394062;"Africa";"Alarming"
"109";"Cote d'Ivoire";"CIV";2012;30;3666,63745117188;22010708;"Africa";"Serious"
"110";"Cote d'Ivoire";"CIV";2021;22,3;5181,31103515625;26811792;"Africa";"Serious"
"111";"Croatia";"HRV";2000;2,5;18362,10546875;4548438;"Europe";"Low"
"112";"Croatia";"HRV";2006;2,5;24940,021484375;4417562;"Europe";"Low"
"113";"Croatia";"HRV";2012;2,5;24078,330078125;4331592;"Europe";"Low"
"114";"Croatia";"HRV";2021;2,5;27076,978515625;4096872;"Europe";"Low"
"115";"Cuba";"CUB";2000;2,5;NA;11105799;"North America";"Low"
"116";"Cuba";"CUB";2006;2,5;NA;11260636;"North America";"Low"
"117";"Cuba";"CUB";2012;2,5;NA;11309292;"North America";"Low"
"118";"Cuba";"CUB";2021;2,5;NA;11300695;"North America";"Low"
"119";"Democratic Republic of Congo";"COD";2000;50,6;751,557739257812;48616328;"Africa";"Extremely Alarming"
"120";"Democratic Republic of Congo";"COD";2006;45,3;794,429443359375;58381636;"Africa";"Alarming"
"121";"Democratic Republic of Congo";"COD";2012;42,3;926,787841796875;70997872;"Africa";"Alarming"
"122";"Democratic Republic of Congo";"COD";2021;39;1082,44519042969;92853168;"Africa";"Alarming"
"123";"Djibouti";"DJI";2000;44,3;NA;742046;"Africa";"Alarming"
"124";"Djibouti";"DJI";2006;36,9;NA;846957;"Africa";"Alarming"
"125";"Djibouti";"DJI";2012;35,4;NA;954311;"Africa";"Alarming"
"126";"Djibouti";"DJI";2021;27,4;5481,11474609375;1090162;"Africa";"Serious"
"127";"Dominican Republic";"DOM";2000;15,1;9322,1396484375;8540790;"North America";"Moderate"
"128";"Dominican Republic";"DOM";2006;13,2;11087,482421875;9284169;"North America";"Moderate"
"129";"Dominican Republic";"DOM";2012;10,2;13219,6943359375;10030885;"North America";"Moderate"
"130";"Dominican Republic";"DOM";2021;8;17003,013671875;10999668;"North America";"Low"
"131";"Ecuador";"ECU";2000;19,7;8176,34423828125;12626511;"South America";"Moderate"
